FIPS,jurisdiction_name,state_name_abbreviation,e2016_votediff,voters_removed_total,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,total_registered_voters
41057,TILLAMOOK COUNTY,OR,770,911,1,0,6538,5768,19057
51530,BUENA VISTA CITY,VA,737,904,1,0,1430,693,3902
53049,PACIFIC COUNTY,WA,740,888,1,0,5360,4620,16623
49019,GRAND COUNTY,UT,15,887,1,0,1975,1960,5851
51157,RAPPAHANNOCK COUNTY,VA,792,882,1,0,2539,1747,5849
46027,CLAY COUNTY,SD,499,868,0,1,2109,2608,8549
13289,TWIGGS COUNTY,GA,64,797,1,0,2035,1971,6140
13273,TERRELL COUNTY,GA,393,786,0,1,1874,2267,6671
30003,BIG HORN COUNTY,MT,241,778,0,1,1853,2094,7911
48043,BREWSTER COUNTY,TX,204,775,1,0,2077,1873,7282
13093,DOOLY COUNTY,GA,79,769,1,0,1951,1872,5999
51595,EMPORIA CITY,VA,741,762,0,1,789,1530,3806
28017,CHICKASAW COUNTY,MS,478,742,1,0,4127,3649,12310
51181,SURRY COUNTY,VA,453,734,0,1,1819,2272,5499
51097,KING & QUEEN COUNTY,VA,631,715,1,0,2099,1468,5026
37073,GATES COUNTY,NC,489,710,1,0,2874,2385,8785
28009,BENTON COUNTY,MS,532,690,1,0,2251,1719,6053
27075,LAKE COUNTY,MN,145,689,0,1,2932,3077,7410
51580,COVINGTON CITY,VA,435,686,1,0,1349,914,3640
22107,TENSAS PARISH,LA,150,677,0,1,1182,1332,3573
19191,WINNESHIEK COUNTY,IA,90,668,1,0,5344,5254,15263
33011,NASHUA 08,NH,424,662,1,0,100013,99589,7442
45065,MCCORMICK COUNTY,SC,173,655,1,0,2652,2479,7790
19157,POWESHIEK COUNTY,IA,642,651,1,0,4946,4304,14680
13319,WILKINSON COUNTY,GA,439,642,1,0,2333,1894,6261
16081,TETON COUNTY,ID,8,620,1,0,2167,2159,6746
22081,RED RIVER PARISH,LA,453,604,1,0,2391,1938,6038
13243,RANDOLPH COUNTY,GA,327,589,0,1,1271,1598,4330
33011,NASHUA 07,NH,424,543,1,0,100013,99589,5723
19101,JEFFERSON COUNTY,IA,38,529,1,0,3748,3710,11418
33011,NASHUA 01,NH,424,523,1,0,100013,99589,6971
33011,NASHUA 02,NH,424,498,1,0,100013,99589,6781
33011,NASHUA 03,NH,424,498,1,0,100013,99589,6192
30085,ROOSEVELT COUNTY,MT,237,497,1,0,1797,1560,5952
48283,LA SALLE COUNTY,TX,257,493,0,1,872,1129,4268
