FIPS,e2016_votediff,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote
13123,8512,true,false,10477,1965
13125,1097,true,false,1235,138
13127,9737,true,false,21512,11775
13129,12010,true,false,15191,3181
13131,3040,true,false,6053,3013
13133,2291,true,false,5490,3199
13135,19164,false,true,146989,166153
13137,10707,true,false,13190,2483
13139,35553,true,false,51733,16180
13141,1858,false,true,843,2701
13143,8110,true,false,9585,1475
13145,7850,true,false,11936,4086
13147,4701,true,false,7286,2585
13149,2627,true,false,3370,743
13151,4333,false,true,45724,50057
13153,12877,true,false,35430,22553
13155,1825,true,false,2716,891
13157,17293,true,false,21784,4491
13159,2816,true,false,4360,1544
13161,3203,true,false,4104,901
13163,758,false,true,3063,3821
13165,772,true,false,1895,1123
13167,1383,true,false,2519,1136
13169,4344,true,false,8305,3961
13171,2920,true,false,5190,2270
13173,1178,true,false,1984,806
13175,5659,true,false,12411,6752
13177,7476,true,false,10646,3170
13179,3422,false,true,6134,9556
13181,1486,true,false,2759,1273
13183,1266,true,false,2626,1360
13185,6571,true,false,21635,15064
13187,7399,true,false,9619,2220
13189,1733,true,false,5432,3699
13191,1184,true,false,3487,2303
13193,1165,false,true,1540,2705
13195,6776,true,false,9201,2425
13197,708,true,false,1921,1213
13199,1418,true,false,5222,3804
13201,1268,true,false,1891,623
13205,786,true,false,4279,3493
13207,5261,true,false,8832,3571
13209,1823,true,false,2670,847
13211,3896,true,false,6559,2663
13213,8541,true,false,10341,1800
13215,12875,false,true,26976,39851
13217,1030,false,true,20913,21943
13219,7844,true,false,13425,5581
13221,2794,true,false,4625,1831
13223,26637,true,false,44662,18025
13225,313,true,false,5413,5100
13227,9672,true,false,11651,1979
13229,5399,true,false,6302,903
13231,6038,true,false,7278,1240
13233,8147,true,false,11014,2867
13235,1333,true,false,2437,1104
13237,3786,true,false,6544,2758
13239,114,true,false,575,461
13241,4843,true,false,6287,1444
13243,327,false,true,1271,1598
13245,24353,false,true,24461,48814
13247,9777,false,true,13478,23255
13249,1071,true,false,1472,401
13251,1005,true,false,3305,2300
13253,1156,true,false,2345,1189
13255,6289,true,false,15646,9357
13257,5849,true,false,7686,1837
13259,417,false,true,805,1222
13261,244,false,true,5276,5520
13263,806,false,true,1196,2002
13265,196,false,true,349,545
13267,3415,true,false,5096,1681
13269,768,true,false,2064,1296
13271,1137,true,false,2450,1313
13273,393,false,true,1874,2267
13275,4086,true,false,11228,7142
13277,5237,true,false,9584,4347
13279,4277,true,false,6615,2338
13281,4173,true,false,5383,1210
13283,947,true,false,1809,862
13285,6037,true,false,15750,9713
13287,849,true,false,2095,1246
13289,64,true,false,2035,1971
13291,7889,true,false,9852,1963
13293,3817,true,false,7292,3475
13295,14735,true,false,18950,4215
13297,22833,true,false,31125,8292
13299,5073,true,false,8513,3440
13301,323,false,true,991,1314
13303,51,false,true,4149,4200
13305,6112,true,false,8153,2041
13307,157,true,false,630,473
13309,775,true,false,1421,646
13311,8087,true,false,9761,1674
13313,13600,true,false,21537,7937
13315,1244,true,false,2096,852
13317,724,true,false,2572,1848
13319,439,true,false,2333,1894
13321,4132,true,false,6152,2020
