FIPSCode,Jurisdiction_Name,State_Abbr,A1a,A1b,A9a,A9b,A9c,A9d,A9e,A9f,A9g
23050,TOWN OF ELCHO - LANGLADE COUNTY,WI,890,890,110,22,23,0,61,0,0
23075,VILLAGE OF ELDERON - MARATHON COUNTY,WI,96,96,11,4,3,0,4,0,0
23100,TOWN OF ELDERON - MARATHON COUNTY,WI,387,387,36,14,3,1,16,0,0
23150,TOWN OF ELDORADO - FOND DU LAC COUNTY,WI,915,915,103,36,17,1,49,0,0
23175,VILLAGE OF ELEVA - TREMPEALEAU COUNTY,WI,366,366,46,11,9,0,26,0,0
23200,TOWN OF ELK - PRICE COUNTY,WI,702,702,54,10,6,0,38,0,0
23262,TOWN OF ELK GROVE - LAFAYETTE COUNTY,WI,226,226,26,7,4,0,15,0,0
23275,VILLAGE OF ELKHART LAKE - SHEBOYGAN COUNTY,WI,798,798,89,20,24,0,41,0,0
23300,CITY OF ELKHORN - WALWORTH COUNTY,WI,5095,5095,864,287,117,8,434,0,1
23325,VILLAGE OF ELK MOUND - DUNN COUNTY,WI,435,435,76,22,2,0,49,0,0
23350,TOWN OF ELK MOUND - DUNN COUNTY,WI,1043,1043,141,57,9,2,66,0,0
23400,TOWN OF ELLENBORO - GRANT COUNTY,WI,314,314,50,17,7,0,26,0,0
23425,TOWN OF ELLINGTON - OUTAGAMIE COUNTY,WI,1922,1922,181,41,27,0,94,0,0
23525,VILLAGE OF ELLSWORTH - PIERCE COUNTY,WI,1645,1645,317,124,45,1,141,0,0
23550,TOWN OF ELLSWORTH - PIERCE COUNTY,WI,736,736,87,25,12,2,48,0,0
23575,VILLAGE OF ELM GROVE - WAUKESHA COUNTY,WI,4760,4760,618,219,110,5,268,0,12
23700,VILLAGE OF ELMWOOD - PIERCE COUNTY,WI,454,454,54,18,10,1,24,1,0
23725,VILLAGE OF ELMWOOD PARK - RACINE COUNTY,WI,368,368,55,30,8,1,16,0,0
23775,TOWN OF EL PASO - PIERCE COUNTY,WI,424,424,55,19,2,1,31,0,0
23800,CITY OF ELROY - JUNEAU COUNTY,WI,655,655,143,43,30,0,70,0,0
23850,VILLAGE OF EMBARRASS - WAUPACA COUNTY,WI,189,189,14,4,7,0,3,0,0
23925,TOWN OF EMERALD - ST. CROIX COUNTY,WI,472,472,53,15,8,0,29,0,0
23975,TOWN OF EMERY - PRICE COUNTY,WI,214,214,20,6,6,0,8,0,0
24000,TOWN OF EMMET - DODGE COUNTY,WI,852,852,107,36,15,0,56,0,0
24025,TOWN OF EMMET - MARATHON COUNTY,WI,596,596,41,11,7,0,23,0,0
24050,TOWN OF EMPIRE - FOND DU LAC COUNTY,WI,1908,1908,192,60,32,1,99,0,0
24075,VILLAGE OF ENDEAVOR - MARQUETTE COUNTY,WI,222,222,47,8,5,1,27,0,0
24125,TOWN OF ENTERPRISE - ONEIDA COUNTY,WI,262,262,26,10,7,0,9,0,0
24150,VILLAGE OF EPHRAIM - DOOR COUNTY,WI,296,296,23,2,6,0,15,0,0
24225,TOWN OF ERIN - WASHINGTON COUNTY,WI,2822,2822,245,116,34,2,93,0,0
24275,TOWN OF ERIN PRAIRIE - ST. CROIX COUNTY,WI,433,433,54,14,3,0,34,0,0
24375,TOWN OF ESTELLA - CHIPPEWA COUNTY,WI,259,259,35,5,4,1,25,0,0
24400,VILLAGE OF ETTRICK - TREMPEALEAU COUNTY,WI,324,324,30,7,5,0,15,0,0
24425,TOWN OF ETTRICK - TREMPEALEAU COUNTY,WI,807,807,94,15,15,0,24,0,0
24450,TOWN OF EUREKA - POLK COUNTY,WI,1071,1071,139,39,16,1,83,0,0
24550,CITY OF EVANSVILLE - ROCK COUNTY,WI,3180,3180,469,145,83,3,224,0,3
24575,TOWN OF EVERGREEN - LANGLADE COUNTY,WI,341,341,40,10,7,3,14,0,0
24600,TOWN OF EVERGREEN - WASHBURN COUNTY,WI,772,772,107,34,11,0,60,0,0
